Russian,English
и;and;though
в;in;at
не;not
он;he
на;on;it;at;to
я;I
что;what;that;why
тот;that
быть;to be
с;with;and;from;of
а;while;and;but
весь;all, everything
это;that, this, it
как;how, what, as, like
она;she
по;on, along, by
но;but
они;they
к;to, for, by
у;by, with, of
ты;you, thou
из;from, of, in
мы;we
за;behind, over, at, after
вы;you
так;so, thus, then
же;and, as for, but, same
от;from, of, for
сказать;to say, to speak
этот;this
который;which, who, that
мочь;be able
человек;man, person
о;of, about, against
один;one, some, alone
ещё;still, yet
бы;would
такой;such, so, some
только;only, merely, but
себя;myself, himself, herself
своё;one's own, my, our
какой;what, which, how
когда;when, while, as
уже;already, by now
для;for, to
вот;here, there, this is, that's
кто;who, that, some
да;yes, but
говорить;to say, to tell, to speak
год;year
знать;to know, be aware
мой;my, mine
до;to, up to, about, before
или;or
если;if
время;time, season
рука;hand, arm
нет;no, not, but
самый;most, the very, the same
ни;not a, not, neither… nor
стать;to become, begin, come
большой;big, large, important
даже;even
другой;other, another, different
наш;our, ours
свой;my, our, your
ну;now, right, well, come on
под;under, for, towards, to
где;where
дело;business, affair, matter
есть;to eat, to be
сам;myself, yourself
раз;time, once, since
чтобы;that, in order that
два;two
там;there, then
чем;"than; instead of"
глаз;"eye; sight"
жизнь;life
первый;first, front, former
день;day
тут;here, now, then
во;"in, at; super, exactly"
ничто;nothing
потом;afterwards, then
очень;very
со;with
хотеть;to want, like
ли;whether, if
при;"attached to, in the presence of, by, about; masterrussian, dot com"
голова;head, mind, brains
надо;over, above, ought to
без;without
видеть;to see
идти;to go, come
теперь;now, nowadays
тоже;also, as well, too
стоять;to stand, be, stand up
друг;friend
дом;house, home
сейчас;now, presently, soon
можно;one can
после;after, afterwards
слово;word
здесь;here
думать;"to think; believe"
место;"place; seat"
спросить;to ask
через;through, across
лицо;"face; person"
что;what, which, that
тогда;then
ведь;you see, you know
хороший;good, nice (see #152)
каждый;each, every
новый;"new; modern"
жить;to live
должный;due, proper
смотреть;to look, watch
почему;why
потому;that's why
сторона;side, party
просто;simply
нога;foot, leg
сидеть;to sit
понять;"to understand; realize"
иметь;to have, own
конечный;final, last
делать;to do, make
вдруг;suddenly
над;above, over
взять;to take
никто;nobody
сделать;to do, make, finish
дверь;door
перед;before, in front of
нужный;necessary
понимать;to understand
казаться;"to seem, appear; masterrussian, dot com"
работа;work, job
три;three
ваш;yours
уж;really, already
земля;earth, land, soil
конец;end, distance
несколько;several, some
час;hour, time
голос;voice
город;town, city
последний;last, the latest, new
пока;for the present
хорошо;well (see #114)
давать;"to give; let, allow"
вода;water
более;more
хотя;although
всегда;always
второй;second
куда;where, what for, much
пойти;to go
стол;"table, desk; board"
ребёнок;child, kid, infant
увидеть;to see
сила;strength, force
отец;father (see #918)
женщина;woman
машина;car, machine, engine
случай;case, occasion, incident
ночь;night
сразу;at once, right away, just
мир;world, peace
совсем;quite, entirely, totally
остаться;to remain, stay (see #297)
об;about, of (see #34)
вид;appearance, look, view
выйти;to go out, come out, appear
дать;"to give; masterrussian, dot com"
работать;to work
любить;to love
старый;old
почти;almost
ряд;row, line
оказаться;find oneself, turn out
начало;beginning, origin, source
твой;your, yours (informal)
вопрос;question, matter, problem
много;many, much (see #799)
война;war
снова;again
ответить;to answer, reply (see #404)
между;between, among
подумать;to think
опять;again
белый;white
деньги;money
значить;to mean, signify
про;about, for
лишь;only, as soon as
минута;minute, moment
жена;wife
посмотреть;to take a look, watch, inspect
правда;truth
главный;main, chief
страна;country
свет;"light;world"
ждать;to wait
мать;mother
