Spanish,English
que,what
no,not
a,to
la,the
el,the
y,Y
es,it is
en,on
lo,it
un,a
por,for
qué,what
me,I
una,a
los,the
se,I know
te,tea
con,with
para,in order to
está,this
mi,me
pero,but
sí,Yes
si,Yes
bien,well
eso,that
su,its
las,the
yo,me
del,of
como,What
aquí,here
tu,you
al,to the
más,more
le,you
esto,this
todo,everything
ya,already
estoy,I'm
ahora,now
muy,very
ha,ha
esta,is
así,So
vamos,go
algo,something
hay,there are
bueno,well
tengo,I have
él,he
cuando,when
estás,are
sé,he
tú,your
nos,us
nada,nothing
cómo,as
este,this
o,or
he,I
ser,to be
tiene,have
puedo,may l
ella,her
quiero,I want
hacer,make
fue,It was
gracias,Thank you
vez,time
era,it was
soy,I am
sólo,alone
todos,everyone
porque,because
son,They are
tienes,do you have
creo,I think
voy,I go
sabes,you know
estaba,was
puede,can
eres,are
ese,that
usted,you
entonces,then
hola,Hello
solo,only
verdad,truth
casa,home
tan,so
quién,who
sus,their
tiempo,weather
dos,two
esa,that
nunca,never
dónde,where
va,he
oh,oh
favor,favor
mucho,a lot of
mí,my
quieres,you want
siento,I feel
señor,Mister
mejor,best
hace,makes
has,you
decir,say
también,also
sobre,on
dios,God
sin,without
tenemos,have
están,is it so
ti,you
puedes,you may
ver,watch
hombre,man
vida,lifetime
alguien,someone
cosas,things
siempre,forever
hasta,until
ahí,there
ir,to go
años,years
antes,before
estar,to be
ni,neither
poco,little
día,day
uno,one
noche,night
hecho,done
mis,my
estamos,we're
otra,other
acuerdo,agreement
trabajo,job
nosotros,U.S
parece,It seems
gente,people
sea,be
padre,dad
mira,sight
mismo,same
dijo,He said
nadie,no one
quiere,wants
podría,might
hablar,speak
vas,you go
ellos,they
sr.,Mr.
tal,such
pasa,happens
fuera,outside
después,later
han,they have
desde,since
dinero,money
mundo,world
claro,Sure
momento,moment
les,them
tener,to have
estado,condition
otro,other
había,there was
mañana,morning
tenía,I had
madre,mother
vale,okay
lugar,place
haciendo,doing
donde,where
seguro,insurance
sabe,knows
podemos,we can
tus,your
espera,waiting
nuevo,new
sido,been
cosa,thing
hijo,child
allí,there
menos,less
tipo,kind
amigo,friend
gran,great
nuestro,our
mujer,woman
mamá,Mommy
luego,soon
papá,father
días,days
dice,He says
hoy,today
tres,three
buena,good
necesito,needed
dije,said
oye,hears
gusta,like
quería,wanted
será,will be
haber,to have
parte,part
todas,all
crees,think
buen,good
conmigo,with me
nombre,Name
mierda,shit
nuestra,our
mal,wrong
debe,should
realmente,Really
estas,these
aún,still
mío,Own
toda,all
hacerlo,do it
cada,each
visto,viewed
importa,matters
contigo,with you
tienen,have
