Turkish;English;
bir;one;
bu;it;
ne;What;
ve;and;
için;for;
mi;Did you;
de;also;
o;he is;
ben;I;
çok;very;
ama;but;
evet;Yes;
var;there is;
da;in;
mı;is;
değil;not;
şey;thing;
hayır;no;
daha;more;
sen;joyful;
kadar;until;
bana;to me;
gibi;as;
yok;no;
bunu;this;
onu;him-her-it;
iyi;good;
tamam;OK;
beni;me;
seni;you;
her;each;
benim;just me;
sana;you;
ki;that;
ya;either;
neden;why is that;
zaman;time;
sadece;just;
senin;your;
burada;here;
olduğunu;that;
nasıl;how;
hiç;no;
sonra;Then;
şimdi;now;
en;most;
öyle;so;
mu;is;
şu;That;
misin;will you;
önce;before;
biraz;some;
hadi;let's;
güzel;beautiful;
musun;Do you;
oldu;it was;
yani;so;
böyle;such;
ona;him;
İyi;Good;
lütfen;Please;
onun;her;
bile;even;
bak;look;
çünkü;because;
peki;Well;
eğer;if;
artık;no longer;
gerçekten;really;
geri;back;
biliyorum;I know;
istiyorum;I want;
kim;who;
olarak;as;
başka;another;
belki;maybe;
tek;single;
DOĞRU;right;
büyük;big;
olan;one;
biri;someone;
olur;would;
buraya;here;
bay;Mr;
in;of;
olacak;it will be;
adam;man;
ile;with;
hiçbir;no;
biz;we;
yardım;help;
demek;say;
hey;Hey;
sanırım;I think;
ın;of;
bilmiyorum;I do not know;
bunun;its;
tüm;all;
teşekkürler;thanks;
fazla;much;
yeni;new;
gün;day;
ederim;I would;
nerede;where;
tanrım;my god;
a;a;
şeyi;thing;
merhaba;Hello there;
efendim;Sir;
orada;there;
son;end;
kötü;bad;
şeyler;things;
gece;night;
biliyor;he knows;
sorun;problem;
iki;two;
harika;wonderful;
gerek;need;
et;meat;
tam;full;
İşte;Request;
bütün;all;
diye;that;
hemen;immediately;
siz;you;
üzgünüm;sorry;
ol;be;
olabilir;can;
i;I;
olsun;get;
küçük;small;
size;to you;
yüzden;why;
bayan;Lady;
aynı;same;
teşekkür;thank;
hakkında;about;
tabii;Of course;
gel;come;
onları;them;
kendi;own;
kız;girl;
nin;the;
devam;continuation;
bize;to us;
e;to;
oluyor;is happening;
ver;give;
izin;permission;
iş;business;
bizi;us;
buna;this;
anne;mother;
selam;Hello;
vardı;had;
geldi;came;
