French;English;
je;I;
est;is;
pas;not;
le;the;
que;than;
la;the;
vous;you;
tu;you;
un;a;
c';vs';
à;at;
et;and;
il;he;
a;at;
l';the;
ne;born;
les;the;
j';j ';
en;in;
on;we;
ça;it;
une;a;
d';of;
ce;this;
qu';that;
pour;for;
ai;have;
n';not';
des;of the;
qui;who;
mais;But;
dans;in;
nous;we;
elle;it;
me;me;
bien;good;
si;if;
du;of;
y;there;
suis;am;
non;no;
t';t ';
avec;with;
tout;all;
plus;more;
mon;my;
m';m ';
te;you;
au;at;
fait;made;
moi;me;
s';s';
oui;Yes;
va;go;
était;was;
as;ace;
faire;make;
ils;they;
sur;sure;
quoi;what;
se;himself;
comme;as;
sais;know;
être;to be;
veux;want;
ici;here;
ma;my;
toi;you;
est-ce;Is;
dit;said;
lui;him;
votre;your;
es;es;
pourquoi;Why;
où;or;
là;the;
rien;nothing;
cette;this;
sont;are;
quand;when;
peux;can;
dire;say;
son;his;
avez;have;
vais;am going to;
alors;so;
ton;your;
comment;How? 'Or' What;
par;through;
ou;or;
chose;thing;
bon;Well;
ont;have;
merci;thank you;
juste;fair;
très;very;
jamais;never;
été;summer;
aussi;too;
avoir;to have;
vraiment;really;
voir;see;
même;even;
sa;her;
oh;Oh;
maintenant;now;
tous;all;
peut;can;
deux;of them;
ces;these;
êtes;are;
allez;going;
ta;your;
autre;other;
peu;little;
temps;time;
quelque;some;
fais;do;
toujours;always;
encore;again;
notre;our;
mes;my;
besoin;need;
avait;had;
accord;agreement;
faut;should;
dois;have;
vie;life;
peut-être;perhaps;
aller;to go;
fois;time;
vu;seen;
donc;therefore;
sans;without;
monde;world;
étais;was;
parce;by;
avant;before;
sûr;sure;
trop;too much;
quelqu';someone;
parler;speak;
personne;nobody;
avais;had;
père;dad;
crois;think;
après;after;
aux;to the;
dieu;God;
ouais;yeah;
ses;his;
pense;thought;
eu;had;
aime;love;
leur;their;
homme;man;
viens;come;
vrai;true;
femme;women;
ok;okay;
doit;must;
veut;wants;
ans;years;
m.;m.;
mal;wrong;
chez;in;
déjà;already;
depuis;since;
beaucoup;a lot;
vos;your;
bonne;good;
mort;death;
mieux;better;
vas;going;
mère;mother;
sera;will be;
dis;tell;
fille;girl;
tes;your;
gens;people;
quel;what;
vois;see;
désolé;sorry;
ca;it;
voilà;here;
avons;have;
petit;small;
maison;House;
soit;is;
cela;it;
autres;other;
toute;all;
soir;evening;
passé;past;
prendre;take;
jour;day;
monsieur;gentleman;
nos;our;
savoir;know;
choses;things;
salut;Hi;
cet;this;
nom;last name;
argent;silver;
bonjour;Hello;
nuit;night;
raison;reason;
moins;less;
arrive;come;
maman;mom;
reste;rest;
moment;moment;
voulais;wanted;
seul;only;
aider;help;
air;air;
entre;Between;
papa;dad;
passe;past;
aurais;would;
problème;problem;
ah;ha;
peur;fear;
regarde;looked;
voulez;want;
gars;guys;
trouvé;find;
fils;son;
attends;hold on;
savez;know;
jusqu';up;
trouver;find;
trois;three;
assez;enough;
famille;family;
dû;of;
eh;eh;
toutes;all;
plaît;please;
pourrait;could;
travail;job;
pris;taken;
pu;could;
